location_id,location_name,parameter,datetimeUtc,value,unit
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,32,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,32,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,58,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,58,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,58,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,69,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,69,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,64,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,64,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,64,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,49,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,48,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,48,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,40,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,31,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,31,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,31,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,18,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,17,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,17,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,17,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,20,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,17,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,16,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,16,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,16,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,26,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,26,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,26,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,26,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,37,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,37,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,37,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,52,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,53,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,53,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,53,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,63,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,63,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,63,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,63,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,52,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,51,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,51,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,51,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,31,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,29,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,29,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,29,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,23,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,22,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,22,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,22,µg/m³
3409431,"Digari Kalan, Jodhpur - RSPCB",pm25,15-12-2025,25,µg/m³
