location_id,location_name,parameter,datetimeUtc,value,unit
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,49.92,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,51,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,51.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,51.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,51.23,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.65,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,50.14,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,49.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,49.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,48.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,46.25,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,45.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,45.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,45.25,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,45.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,45.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,44.03,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,42.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,42.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,42.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,39.99,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,37.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,37.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,37.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,38.89,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.61,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.65,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,67.79,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,82.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,82.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,82.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,76.03,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,68.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,68.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,68.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,71.37,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,74.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,74.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,74.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,67.14,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,56.45,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,55.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,51.9,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,47.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,44.66,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.5,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,39.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,39.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,39.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,40.87,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,15-12-2025,41.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,44.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,46.8,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,49.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,49.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,49.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,51.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,53.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,53.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,53.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,54.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,55.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,53.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,51.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,51.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,51.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,51,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,50.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,57.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,57.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,57.96,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,59.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,61.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,61.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,55.25,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.54,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.76,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.03,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,46.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,46.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,46.16,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,46.8,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,47.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,58.35,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,71.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,71.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,71.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,69.08,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,66.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,66.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,66.36,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,62.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,62.56,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,61.01,µg/m³
6945,"Kurla, Mumbai - MPCB",pm25,16-12-2025,59.16,µg/m³
