location_id,location_name,parameter,datetimeUtc,value,unit
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,30.42,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,30.42,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,30.14,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,29.33,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,29.33,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,30.31,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,33.19,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.76,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.03,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.03,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,11.7,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,16.93,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,16.93,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,16.93,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,17.41,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,17.63,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,17.63,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,17.63,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,20.43,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.69,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.69,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.69,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.44,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,21.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,23.07,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,23.92,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,23.92,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,23.92,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,29.81,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.44,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.44,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,32.44,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,38.65,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,41.42,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,41.42,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,41.42,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,44.6,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,47.38,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,47.38,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,47.38,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,47.86,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,48.08,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,48.08,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,48.08,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.97,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,50.82,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,50.82,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,50.82,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,47.63,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,46.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,46.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,46.21,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.18,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.4,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.4,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.4,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.99,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.99,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,49.99,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,52.53,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,53.69,µg/m³
3409364,"Bhatagaon New ISBT, Raipur - CECB",pm25,15-12-2025,53.69,µg/m³
